[0.000000] (-) TimerEvent: {}
[0.001127] (-) JobUnselected: {'identifier': 'ackermann_steering_controller'}
[0.001306] (-) JobUnselected: {'identifier': 'admittance_controller'}
[0.001434] (-) JobUnselected: {'identifier': 'bicycle_steering_controller'}
[0.002157] (-) JobUnselected: {'identifier': 'brain_controller'}
[0.002422] (-) JobUnselected: {'identifier': 'brain_hardware'}
[0.002550] (-) JobUnselected: {'identifier': 'bringup'}
[0.002692] (-) JobUnselected: {'identifier': 'description'}
[0.003064] (-) JobUnselected: {'identifier': 'diff_drive_controller'}
[0.003199] (-) JobUnselected: {'identifier': 'effort_controllers'}
[0.003613] (-) JobUnselected: {'identifier': 'force_torque_sensor_broadcaster'}
[0.004020] (-) JobUnselected: {'identifier': 'forward_command_controller'}
[0.004175] (-) JobUnselected: {'identifier': 'gpio_controllers'}
[0.004273] (-) JobUnselected: {'identifier': 'gripper_controllers'}
[0.004366] (-) JobUnselected: {'identifier': 'imu_sensor_broadcaster'}
[0.004458] (-) JobUnselected: {'identifier': 'interfaces'}
[0.004548] (-) JobUnselected: {'identifier': 'joint_state_broadcaster'}
[0.004638] (-) JobUnselected: {'identifier': 'joint_trajectory_controller'}
[0.004727] (-) JobUnselected: {'identifier': 'mecanum_drive_controller'}
[0.004815] (-) JobUnselected: {'identifier': 'oradar_lidar'}
[0.004905] (-) JobUnselected: {'identifier': 'pid_controller'}
[0.004997] (-) JobUnselected: {'identifier': 'pose_broadcaster'}
[0.005085] (-) JobUnselected: {'identifier': 'position_controllers'}
[0.005173] (-) JobUnselected: {'identifier': 'range_sensor_broadcaster'}
[0.005263] (-) JobUnselected: {'identifier': 'ros2_controllers'}
[0.005347] (-) JobUnselected: {'identifier': 'ros2_controllers_test_nodes'}
[0.005434] (-) JobUnselected: {'identifier': 'rqt_joint_trajectory_controller'}
[0.005523] (-) JobUnselected: {'identifier': 'steering_controllers_library'}
[0.005611] (-) JobUnselected: {'identifier': 'tricycle_controller'}
[0.005696] (-) JobUnselected: {'identifier': 'tricycle_steering_controller'}
[0.005785] (-) JobUnselected: {'identifier': 'velocity_controllers'}
[0.005931] (-) EventReactorShutdown: {}
